ques,skill
352,34
424,26
1029,62
355,47
680,78
611,3
670,78
826,58
877,78
638,9
74,70
779,73
338,39
243,3
185,35
899,17
1044,78
554,2
284,5
551,78
193,35
525,78
992,78
164,49
406,69
778,18
982,78
600,78
1107,78
1081,78
405,71
1131,83
583,34
998,78
789,78
430,49
219,65
463,13
348,62
972,78
1097,78
268,45
16,30
203,2
1087,78
321,68
805,78
814,32
988,78
758,38
526,35
1103,78
392,48
962,78
449,33
1077,78
113,69
45,46
149,22
310,17
186,35
662,78
1093,78
519,30
892,78
1067,78
1111,15
785,78
807,55
285,59
725,78
5,9
433,9
652,78
699,78
882,78
903,56
247,64
715,78
410,39
689,78
534,64
916,78
426,2
18,23
238,81
90,46
1018,21
373,85
60,43
206,62
1004,32
91,47
169,8
37,39
213,65
304,2
428,12
454,1
607,69
705,78
695,78
906,78
953,78
979,78
1142,40
349,67
159,35
61,4
579,4
187,35
1037,39
81,47
1147,22
744,78
711,78
545,35
969,78
685,78
896,78
959,78
606,22
343,78
177,35
377,64
462,26
975,78
633,35
949,78
208,69
333,78
296,64
636,22
825,58
965,78
1098,78
317,2
300,62
585,17
889,78
354,47
417,42
879,78
771,49
939,78
281,9
806,78
195,2
112,69
1088,78
895,78
401,65
188,35
415,81
464,33
499,69
869,78
3,7
140,55
1133,42
403,62
1094,78
885,78
178,35
543,71
812,78
435,61
127,4
736,78
859,78
786,78
1112,7
726,78
978,7
875,78
849,78
230,5
742,78
1140,48
478,12
538,59
716,78
116,35
821,32
134,11
88,70
910,48
1027,85
732,78
1130,20
505,35
706,78
980,78
398,11
796,69
816,42
229,75
1124,8
290,72
722,78
996,78
787,78
506,2
218,69
782,58
970,78
1136,59
1038,78
52,47
803,78
623,12
883,78
1117,17
986,78
40,45
960,78
393,41
1028,78
1075,78
1123,72
565,10
589,61
622,85
976,78
783,78
1129,24
660,78
1091,78
966,78
470,35
777,58
947,50
890,78
448,85
15,23
136,55
212,54
121,18
599,75
1024,21
1065,78
1115,84
107,35
220,54
723,78
764,3
650,78
421,26
697,78
880,78
489,51
29,26
556,35
713,78
484,6
1125,16
222,78
79,62
703,78
92,22
886,78
1137,21
719,78
646,78
693,78
904,78
876,78
387,74
792,69
120,26
709,78
365,39
467,3
100,35
683,78
560,78
515,49
492,9
358,14
341,78
318,64
161,12
573,62
582,11
597,33
1057,78
239,11
1047,78
135,69
46,47
1105,67
331,78
231,81
963,78
267,48
497,5
265,0
274,45
605,82
629,78
309,64
768,32
937,78
64,46
1063,78
69,7
132,4
223,69
820,32
294,2
179,35
1102,78
1053,78
362,61
822,42
39,40
1122,59
867,78
327,78
55,69
277,59
117,65
114,69
1092,78
311,2
831,58
612,77
48,22
396,18
480,6
810,78
1,9
857,78
750,78
602,39
784,78
302,23
432,18
724,78
322,48
27,58
442,78
873,78
912,48
863,78
740,78
344,67
619,33
227,28
714,78
97,64
211,65
437,39
495,78
1064,59
1110,63
507,64
479,11
158,26
521,78
102,72
180,35
522,68
350,67
704,78
730,78
35,1
303,64
832,58
929,78
919,78
162,35
184,12
720,78
642,5
799,67
170,35
567,39
523,38
710,78
501,78
968,78
935,78
909,78
83,71
591,64
57,71
342,78
984,78
225,19
557,39
1084,78
974,78
202,55
925,78
1058,78
465,78
414,24
791,68
639,43
513,24
332,78
104,12
990,78
59,47
1074,78
625,33
964,78
888,78
855,78
1008,32
298,84
390,59
456,81
122,45
53,71
242,11
119,39
216,42
539,35
767,42
13,1
648,78
163,35
894,78
845,78
1026,21
171,35
1148,22
654,78
477,69
1127,2
249,23
