ques,skill
13188,54
15338,125
18763,274
16050,118
14950,166
19240,278
16474,182
5707,54
1635,27
3211,71
14028,84
8536,25
14189,231
8522,20
8736,162
23388,74
19782,127
24204,294
22079,58
8242,102
10459,68
17166,218
16172,105
4771,174
12523,272
15556,198
26483,189
22875,71
23156,252
9495,89
17672,89
20297,160
5752,71
24018,130
4082,175
6047,154
9333,105
10230,233
1415,95
17284,278
17729,9
3897,258
7196,154
9612,106
3014,154
14985,198
12422,105
24416,128
5537,182
8378,90
9095,205
19106,43
17071,159
24434,284
19652,98
16870,71
11562,250
18308,258
22308,1
11919,218
5837,182
21796,253
20486,159
8595,34
21415,278
2009,274
7421,235
5688,56
21504,266
18863,250
13502,166
17614,197
24739,54
17229,89
24762,253
1740,132
5014,7
9268,215
10165,79
23413,250
10369,13
14906,95
3596,278
21239,39
19527,143
22154,144
22225,301
20551,182
5302,278
684,282
8551,101
4557,189
15778,236
24289,71
22021,98
2520,40
14093,120
24989,264
10961,128
23016,11
6568,189
25258,98
23596,79
4846,95
4551,193
6648,250
15820,164
21118,298
9441,149
18275,143
12179,199
21645,274
14229,76
20605,79
15805,58
616,90
26296,95
10760,44
18801,39
26316,177
5964,35
23536,236
9250,198
11467,36
9273,287
1265,93
19171,203
21761,72
23618,153
10920,48
23256,74
19721,272
20893,302
4064,93
20101,125
13615,278
13781,122
16060,235
13306,90
2590,201
6267,101
24909,64
25612,195
25958,69
4121,210
12641,58
4794,235
16948,95
19169,245
6802,236
23515,46
10563,267
10482,201
15554,154
26190,159
6016,174
13067,95
8129,239
427,154
731,72
11710,153
24108,150
6212,270
15283,78
14524,122
857,259
11967,64
26539,272
1135,193
23258,299
13920,255
22859,172
20907,62
2969,95
14647,2
17695,145
13345,71
8066,175
4553,110
11838,160
11965,178
12932,201
19616,199
7401,95
7735,102
6090,159
20986,302
15185,266
13060,164
9387,250
25717,164
5388,79
15101,7
6964,153
19914,25
10041,250
22865,277
1302,253
9695,89
16583,202
19014,174
4225,152
13842,79
21546,56
13007,105
25307,95
3451,253
404,90
21617,197
6004,44
26275,236
627,216
22239,237
15184,153
13006,162
11905,87
940,154
11469,48
12260,269
17189,250
14045,56
14392,299
7062,64
5737,90
24240,2
17624,36
7949,177
10712,120
18471,11
9592,95
12446,294
5254,296
16874,166
23183,95
11829,67
10584,161
4601,75
24925,39
2866,258
9270,90
15296,205
18088,64
21350,258
11567,57
15069,73
18810,105
19589,79
20313,277
8955,90
19275,190
15813,235
25308,189
4947,71
9552,8
24782,12
16103,254
6442,65
10807,154
3975,235
3117,255
10588,172
6799,143
7002,57
8968,56
21048,168
9708,282
14222,77
1891,245
23592,105
20674,278
12942,271
21068,106
2964,301
19923,182
11038,7
7007,95
8346,57
23925,269
8959,71
7922,98
7590,74
18993,30
9927,36
162,56
7495,75
5852,76
8449,161
4932,267
16010,127
4593,93
5386,80
11336,264
12649,235
5012,274
15260,89
9384,218
7441,36
22384,43
24907,196
16251,239
22846,54
25861,90
24245,275
7366,105
1465,11
16204,110
7426,178
19615,270
5912,197
298,236
19290,95
12843,154
14148,57
4613,293
26672,283
21946,190
4426,90
24211,234
11709,90
17339,282
2979,234
25879,110
1204,164
13738,54
20466,222
26643,72
19857,235
24857,166
5275,240
24843,87
4378,298
24126,164
11338,105
26498,102
18761,161
10388,280
12244,149
10644,130
16622,242
8461,9
3304,261
24111,54
3200,64
14544,132
5492,18
9956,266
6323,105
17787,79
12727,233
580,235
6322,98
20601,50
12447,143
3751,57
22841,103
289,71
16937,24
1898,2
16010,226
22951,175
9214,105
1522,302
2022,227
8506,40
613,79
9926,98
8529,249
11027,202
8796,89
25767,183
14101,175
6539,90
1954,101
2363,110
18730,234
25736,55
13507,60
2305,41
16978,139
21301,269
22389,302
22502,71
4355,182
25968,159
3434,153
12819,79
23907,95
3376,274
17851,195
9374,143
16013,56
6352,105
25674,80
3297,240
4681,222
4402,297
22226,159
22302,216
18815,1
7852,110
4510,259
21234,164
24281,153
11009,143
13117,129
8013,189
9467,28
16611,155
20498,1
18814,218
12078,48
24158,64
23455,105
21263,298
13130,111
20645,79
10022,215
20312,32
3661,236
11005,39
6741,182
12114,143
24005,172
9998,15
883,105
26626,87
7519,153
21821,144
18954,298
25001,54
12878,44
5993,11
16181,95
4176,154
7313,25
19311,40
9369,226
23899,101
15782,58
25339,129
777,240
9705,235
2943,57
7953,218
6445,255
22488,288
18331,253
13052,197
3602,64
15368,56
26528,224
4209,256
19745,105
26571,19
10793,7
17984,54
18460,106
22085,25
16584,210
21663,183
7303,215
24433,39
2604,205
26348,101
17595,226
17618,193
21784,146
6813,105
2361,89
12931,144
25563,189
535,144
2736,266
13244,40
16399,166
9965,106
17616,95
6698,236
15370,153
19141,56
6670,78
20056,1
13125,29
5165,173
25178,161
26123,35
13604,77
134,87
6902,102
9917,90
7499,240
19559,180
18336,245
20260,105
19487,56
16719,110
20643,90
9727,284
15365,70
6368,178
16467,110
11577,231
16400,85
5656,64
24549,104
7859,191
22265,93
19186,57
18508,13
20064,166
17515,90
20632,54
2024,57
3270,73
15444,150
12713,182
12904,95
17233,278
25370,196
26315,50
340,209
19816,205
1859,278
8329,182
1469,227
9002,87
9283,250
2533,189
10730,72
15933,297
19190,12
5731,190
4350,11
10004,169
8263,11
4269,95
14787,17
9153,227
12276,259
19293,190
24356,261
6465,144
8371,90
8779,105
13457,180
5375,236
3149,190
15849,56
713,102
254,70
26215,110
6545,105
17693,40
25136,36
2849,250
300,154
26056,149
20796,149
23165,278
129,6
26256,270
23492,73
2811,57
17911,29
11379,79
3152,27
15612,239
20160,75
24061,77
1126,175
4951,56
13337,298
16981,57
26331,224
8366,287
12532,258
14350,39
7670,71
24136,178
0,162
15108,6
20050,184
470,69
22964,166
16410,71
22590,56
5281,56
24717,92
16769,29
18679,56
9929,236
23908,235
17481,250
2335,43
8421,201
4247,234
22565,41
8376,36
21632,241
9681,245
26149,91
5698,239
22645,76
24715,178
15206,79
18353,105
21638,74
5075,25
8693,269
9984,130
5810,215
19598,178
3201,143
24734,31
19985,272
9335,56
12927,234
11485,231
14715,236
116,71
3917,93
14417,282
13899,205
20332,143
2720,149
3859,284
21488,105
3665,29
7031,296
12134,62
25809,56
19529,95
24746,122
12053,44
19130,242
11474,301
10628,211
25757,90
3018,203
2658,178
9228,120
18265,122
18589,97
22732,95
2155,84
22614,95
8891,182
10815,298
10453,245
1134,275
19718,95
8676,95
7309,234
24720,172
21634,210
22929,71
22825,118
11291,295
21002,280
914,6
20254,95
11480,236
23945,236
16070,270
13041,98
3990,105
19882,1
24935,234
19160,233
20987,64
26281,79
19208,191
23494,85
2495,56
16518,152
16645,154
26057,56
12278,255
5018,172
11452,150
6575,294
22942,298
6381,19
1529,98
12021,56
25161,301
6964,54
25901,153
9209,236
1611,189
11451,71
13656,236
26665,191
3452,25
18733,64
1311,284
2389,89
13220,125
5106,278
20446,236
4174,254
3765,189
13277,237
25805,95
6953,110
5178,36
14737,153
2279,284
12180,69
7879,168
4357,105
5316,234
7019,106
19049,111
1823,36
3090,56
15644,56
801,120
10114,93
15065,159
19357,64
8191,89
21506,90
20463,13
16694,110
23206,57
4774,182
21969,301
12420,193
20453,136
19044,234
12392,280
18440,120
317,105
3772,87
25764,273
14883,274
22203,69
21562,71
22108,94
14261,64
8557,227
20380,155
23593,73
24759,258
5583,105
18125,286
16834,88
5744,103
130,240
19749,198
21954,97
14403,245
1093,278
13719,56
21741,56
17056,231
8720,284
14258,157
5904,149
13799,255
15997,102
20901,298
22314,178
16195,95
8260,259
8223,153
3389,302
1852,282
16642,250
20704,238
25468,298
9170,41
7086,72
26175,252
15972,105
17141,64
22423,75
1846,90
10736,64
16841,164
25884,58
460,215
19055,187
16137,278
19087,252
7142,205
625,90
19903,126
19746,295
22516,250
16664,56
1717,106
12353,127
22492,18
20206,95
21221,142
16589,211
23138,56
2043,178
20750,135
4572,2
21817,105
5881,253
22296,249
6338,270
17161,110
22624,250
13339,56
20702,73
14578,200
263,182
22681,278
1231,13
16277,239
1201,234
19386,69
25970,166
7219,191
2564,73
4709,101
6744,93
14082,149
5269,259
4252,153
1144,234
3640,95
10039,172
18038,149
23951,154
15216,101
10147,87
13356,71
20174,25
20936,171
24916,94
2269,129
6880,105
3952,78
14466,101
25176,74
5903,56
22422,143
19366,56
4971,236
23755,105
17139,123
16802,273
17452,227
1887,48
10332,105
16059,301
1880,258
26310,118
20256,64
23440,69
11816,118
17485,71
7001,161
8688,275
19340,118
25834,105
20777,97
6239,182
24460,95
8920,13
9614,143
20555,180
12731,127
4838,186
19544,159
18173,284
21288,258
5202,89
766,105
8336,93
2824,84
10012,149
5121,197
20900,95
15592,96
23430,255
22232,271
25396,64
14838,36
6107,132
5966,73
20047,90
2156,149
8445,178
25130,39
2112,19
19325,182
13616,90
4125,282
6199,57
17292,14
14238,270
9811,81
5418,84
25742,64
8259,48
13437,48
21577,58
5874,77
14628,102
5309,286
24225,90
6350,89
17761,101
22042,71
22118,218
6044,198
10227,95
20381,71
18958,178
8166,95
25300,190
26091,93
7972,236
2277,29
8513,120
2309,274
8766,93
24287,64
6841,74
13833,14
4762,182
20111,294
18767,93
4644,182
2651,95
9581,234
6372,299
7942,8
11143,79
8732,234
18140,265
6579,64
15555,165
18980,64
22338,39
22144,276
6109,255
10600,105
3191,236
18864,144
14257,263
15450,183
18580,180
12783,69
3688,69
12801,44
2853,45
22849,271
2913,274
24112,84
1135,93
21735,95
21004,189
2130,254
6078,236
11120,10
15401,54
15680,235
1821,70
2827,27
6737,154
22811,288
23219,95
14190,95
20367,25
19447,284
13074,101
21103,149
21818,157
18235,71
12608,255
18281,261
5146,274
21031,105
24753,275
20057,178
5517,217
12159,79
19132,90
11974,80
15974,211
23194,180
11983,162
8793,95
18305,215
25854,85
20887,183
12001,71
6062,105
7675,105
9708,215
10525,105
25482,237
18343,25
694,275
9712,97
10506,278
675,226
23577,56
16290,182
24236,284
11298,68
12484,75
15621,200
18608,177
15669,220
21015,236
21345,106
1372,295
18147,36
9004,161
5063,239
14159,162
16671,154
4530,274
24939,106
5207,261
10888,45
22673,231
2700,90
19567,95
20534,48
25381,224
2183,253
11410,240
9857,19
4853,235
8156,154
19204,95
25698,46
3344,235
13121,113
22853,153
6134,60
20707,152
3025,19
15291,274
21712,227
18919,24
7843,190
12382,29
2893,28
11113,280
21746,62
23375,90
17741,56
24124,299
23264,237
22174,255
17872,56
11902,189
22127,298
17085,278
2660,189
16243,8
18642,195
22025,79
18366,113
16445,153
14416,274
21455,219
15451,218
25216,283
18190,178
13114,98
13063,95
5638,240
16156,294
16015,237
7698,67
25561,68
20596,56
24307,90
3564,95
22769,56
9175,236
24972,153
6943,90
7976,95
19591,274
18602,56
25827,95
8167,235
6102,62
15937,76
11257,159
23233,36
5592,162
2704,295
18249,76
21359,81
6690,201
26305,218
535,278
12642,120
20186,236
15675,182
20276,110
22782,301
19621,287
4103,280
18093,101
5982,92
24513,166
3832,64
8908,226
8712,77
17057,14
7548,35
2916,118
5635,19
16939,110
14231,294
13320,154
10967,215
17720,152
12660,8
24690,43
19434,8
9033,226
4361,150
17726,61
6822,195
20374,93
16492,105
5487,105
16828,154
24553,120
18849,97
24974,138
1837,162
15753,233
19072,71
21805,294
4518,153
5230,180
8255,182
14359,128
20362,64
20870,79
9375,168
20126,8
19741,54
17268,92
1219,275
16590,64
12117,110
17300,215
10964,54
6677,96
21235,187
9012,160
25916,1
13445,29
21486,104
15429,190
9424,127
19133,8
4041,150
11590,64
24601,25
23926,78
1810,39
25597,237
6814,229
26173,216
9073,240
8179,1
22292,81
9981,294
21547,234
7383,17
25050,259
18229,298
16163,71
5716,98
519,298
23435,71
13191,302
21792,64
22073,177
1932,90
13253,241
16286,61
9988,236
3920,75
12729,286
6555,280
13033,296
22081,104
8657,259
21214,159
5292,222
11155,64
9219,71
18090,55
19629,95
9242,236
17728,284
5838,113
5068,13
12118,270
9299,98
14534,153
15809,125
5210,149
16823,106
17819,149
26635,127
2728,41
14420,71
26630,182
14609,272
4792,149
11856,71
20481,95
3991,211
6106,250
7131,274
16317,255
23689,87
20591,29
9507,284
10194,190
19896,93
12709,235
16240,67
11790,152
4696,79
131,255
6329,95
15561,106
5640,198
10507,25
22753,97
22046,173
16130,70
26666,177
10645,123
16139,284
8508,184
23190,62
17275,129
21162,11
396,269
25089,122
9091,235
18333,224
14554,105
4382,203
15476,224
5696,75
23706,8
18756,182
2707,237
257,98
9067,105
22760,287
23412,271
24265,25
2540,8
10481,197
8177,8
16148,90
12589,205
16134,93
8469,150
18262,27
19990,250
10937,58
6574,64
23886,162
4684,259
14667,198
16984,105
15393,56
25453,56
13229,270
10943,197
22067,54
14364,301
5686,1
26596,1
3375,79
1347,98
9521,8
18983,219
512,211
6140,252
13636,110
3750,152
16194,172
16722,95
19552,286
15832,149
2583,153
4470,25
19584,25
10851,169
20349,152
16119,155
5366,286
23567,118
19076,252
6363,25
12638,255
22175,120
4655,36
23903,95
11894,184
5976,284
14384,233
24177,106
13624,25
140,234
13174,255
23683,152
4093,273
12466,150
20010,106
18268,234
1297,64
1578,211
9102,56
17486,91
3908,154
11033,77
16278,210
17161,178
4448,129
24862,123
18092,79
23938,105
2404,143
16464,163
21963,258
13961,233
2464,236
13608,186
11384,92
24232,44
19155,36
11753,105
3604,64
850,71
11702,50
8717,18
21590,193
54,95
19982,264
9823,83
18813,41
9846,144
4888,245
3944,153
16639,70
13124,201
23889,234
5932,71
19875,234
3056,97
4698,71
5376,201
7646,211
8890,250
8468,84
8839,199
4741,90
19627,283
14710,294
6377,261
15526,122
6658,36
19742,120
6055,105
15496,57
22099,274
65,227
21573,71
13532,258
9783,218
3132,90
18255,271
22052,11
24306,1
20491,234
2629,48
21639,237
26681,39
1313,286
12961,282
13422,19
4529,160
17267,48
16930,160
12282,106
20475,104
19299,199
3748,97
23322,149
20290,95
2475,93
10221,274
16507,197
4433,302
6230,64
20437,13
8579,57
13960,237
1735,15
21927,250
26239,39
13268,106
2527,150
20185,77
23062,61
7714,69
12,182
1061,189
22610,20
25655,71
13581,236
7481,222
13463,8
18487,110
13329,236
16715,239
6346,182
4604,6
7561,231
11223,57
13875,105
8413,95
16553,105
14540,178
15227,104
24992,41
2398,50
9185,159
24003,205
7124,95
13821,299
23477,62
16137,144
4902,278
17776,13
10444,245
23400,180
18798,44
7517,162
1286,56
24112,57
26069,71
9379,78
6795,272
23969,56
24340,25
20652,110
1304,231
14406,11
15785,40
4587,278
2734,87
26619,246
14560,278
12728,242
22688,301
2150,57
21762,269
763,254
18503,92
11615,227
18450,104
5821,274
4165,160
12528,13
18231,56
19844,64
19853,270
192,178
6386,132
16545,19
457,50
17462,25
20646,50
22681,144
23693,55
2973,75
7049,132
15951,239
18719,105
22795,150
13736,71
19862,96
13745,271
17797,95
24507,43
1842,168
742,144
20449,63
12953,125
19538,246
9220,262
8144,259
16924,227
12274,295
18056,252
8318,115
7334,282
23466,261
953,57
1893,190
9682,54
8967,90
1992,193
5291,191
24502,302
20036,205
22446,93
458,298
13939,144
16698,96
2790,299
16979,209
5675,98
21175,215
3735,233
1693,153
14319,101
3525,61
3050,95
10636,15
9583,89
10940,93
16727,92
16941,134
482,150
9829,162
1180,18
19508,90
1844,57
1369,95
17328,164
15504,104
19948,240
25100,234
2896,294
11964,105
24966,95
17043,153
2570,58
26162,255
23398,178
514,105
15405,219
16325,282
6123,143
6417,79
8858,274
14607,17
16398,25
8484,144
23445,197
7253,235
14378,90
3831,258
12935,153
20193,94
12672,87
22451,105
18384,261
18393,121
8369,259
7295,215
13826,56
11743,178
1082,250
13579,104
4930,190
10590,98
6582,105
14970,71
20794,48
20272,56
7446,25
21107,240
20230,129
23605,189
9714,282
10688,132
23462,182
21231,147
13612,278
19413,92
5343,101
19731,59
8221,203
26020,154
5262,245
13392,71
8292,160
13738,95
3866,110
12040,152
14569,162
24348,104
14684,149
7605,172
2793,13
17277,276
13211,19
24488,266
21337,160
24586,151
14655,234
20527,205
16776,96
10583,87
7034,258
17721,58
11194,40
19758,143
25943,295
1600,245
3840,56
20029,129
15133,13
5353,228
7570,8
16440,299
19245,106
557,75
13001,39
262,105
23448,51
746,132
5069,56
13485,269
10135,182
7689,87
77,166
15160,4
14355,226
17682,104
12645,233
13731,98
18499,118
8564,152
5770,25
15469,242
21657,234
8297,174
9088,89
22076,35
25210,69
9274,71
23509,44
15657,154
12340,44
23799,95
7236,296
5494,172
1171,58
20978,59
3118,13
14974,285
17420,222
5219,71
20537,8
9914,6
17367,231
18425,273
5788,105
11688,95
24395,90
5322,215
296,6
8827,182
24533,56
9862,8
18311,44
4457,278
4528,71
15765,24
6385,40
4885,149
16800,19
26039,182
7406,71
16682,219
23540,104
7424,284
17228,66
15992,72
6732,97
2167,95
6384,255
26365,238
15447,89
6664,255
21787,106
22662,249
10048,164
8247,219
2274,101
10909,122
1680,71
25151,106
24123,79
10302,29
9390,6
1172,210
2250,93
19666,254
16656,13
22940,153
26402,284
23073,113
15249,56
6270,234
17040,50
17704,89
2966,89
8538,245
16641,153
4380,203
23432,95
412,85
2818,64
3369,202
20400,149
26025,49
15144,48
25206,106
5442,252
20418,297
14945,164
23968,95
14171,73
9216,79
17220,104
13633,235
12865,129
11105,95
12406,35
25527,19
16495,173
7083,105
3975,153
10047,56
19099,11
690,97
2907,93
2997,211
10403,143
24210,224
16706,182
22011,104
15124,27
11080,120
16159,29
23764,236
12674,210
13937,161
10050,129
14027,35
4079,104
1629,269
7221,199
384,129
5283,56
9941,89
20857,93
22021,63
10,199
12569,218
4713,29
23306,73
8497,79
11249,210
4286,250
25528,104
21958,253
19174,235
22096,286
16576,129
2472,203
25386,172
18878,150
11307,85
6069,210
7977,70
18474,259
22436,190
9574,105
22566,242
25466,1
18288,36
22380,275
318,164
21250,280
9179,64
17335,126
2989,205
223,105
25057,77
16364,56
3853,93
23717,272
15187,236
13687,143
17186,236
26680,162
1545,18
20115,245
18923,101
1028,79
9739,278
14589,11
13737,177
23109,258
20599,36
12429,77
6917,198
24333,185
7198,105
6979,277
21475,245
19484,226
21115,74
25706,192
7306,182
6665,6
11247,155
5213,105
595,113
10164,254
10995,35
4249,276
20403,234
18031,118
24605,71
23914,36
17461,197
26697,159
15649,74
15432,294
22381,245
24261,235
1965,17
3693,284
8159,27
2455,64
15959,27
25145,253
11493,164
1766,71
3061,250
4475,56
11924,98
14430,169
18029,36
8492,57
17236,65
4959,282
25433,58
14582,100
20784,153
26223,236
10133,271
7565,162
12445,95
2610,68
25766,54
22926,182
3398,4
4298,132
25385,234
21174,71
16226,93
24292,41
10432,154
26438,294
7445,48
2287,24
18420,57
24371,41
8243,253
4145,84
2825,154
24091,87
21390,74
25098,267
23602,56
2322,132
21959,208
11720,17
17110,95
20270,299
26289,124
6789,274
12347,39
10776,56
20274,105
16549,118
15366,58
22172,229
7918,144
3337,98
6251,162
20303,71
11342,245
18742,156
18712,95
2739,41
17938,182
12901,295
12190,182
12375,64
15929,105
22651,64
24327,250
25841,2
3247,39
26424,127
9635,143
10367,267
16274,118
8809,10
19641,250
7991,282
15609,240
13611,36
21278,29
2662,190
21852,162
20394,250
24995,56
8015,182
8614,39
12842,13
2304,39
26078,284
13492,71
6790,250
12329,240
23032,98
8175,18
12850,274
25526,125
19887,46
7748,64
18304,182
22359,209
9158,236
18491,252
23270,1
18286,105
14102,278
1130,240
26185,296
24355,85
17545,242
22690,239
16943,175
11539,286
24223,106
2673,168
20421,236
25248,203
2216,70
1523,193
19576,240
25662,93
24825,226
10917,257
17340,286
12596,149
10280,233
2001,184
17049,180
26092,8
15377,101
22303,235
18645,8
17922,234
14694,118
26324,274
3984,56
9943,295
14123,237
3753,269
2282,286
5437,39
10716,57
18329,54
7667,169
1240,210
10402,264
3761,20
3966,95
23390,286
9909,6
16488,69
14165,237
23161,167
16762,287
8145,144
5559,56
19089,274
13910,258
5411,97
22999,168
2113,241
1805,80
2636,235
26214,111
11202,295
5876,154
23374,127
5350,193
19383,182
23588,273
19406,205
12029,235
6460,39
24321,161
23401,204
1619,104
19154,237
5178,144
3545,168
9170,62
17303,91
19197,58
19605,19
2682,93
23653,56
24354,13
25153,95
5456,240
21696,218
12795,106
24279,58
1953,89
11207,301
5441,110
17884,214
19423,236
14462,191
21282,25
1346,98
11135,95
25564,292
22273,153
16121,182
4169,71
4796,36
7663,64
13991,39
23707,39
24115,162
6263,172
10241,234
26489,60
19672,212
24946,147
723,182
8309,272
19678,57
5016,277
17295,113
9125,36
2437,240
20464,126
16649,297
19094,9
8730,295
7965,58
26568,26
24841,231
22523,1
25046,56
3229,62
24709,56
16701,118
26113,210
22105,161
22851,250
7756,71
3555,110
11127,101
4964,237
24926,94
10053,150
4318,294
12455,84
12189,50
6035,234
19897,75
2852,105
5186,28
12188,253
7389,95
21500,259
12412,245
9597,205
25671,255
14509,233
23276,150
1215,235
8296,150
2519,150
8695,54
3245,144
7284,73
20590,105
22250,73
13107,134
24130,191
10706,56
18192,195
2746,40
5018,126
22564,95
2870,153
14532,210
874,283
24101,64
11659,147
16752,274
17319,226
18361,159
26695,172
163,11
22513,245
15271,95
9969,13
11137,222
24312,285
16370,294
10910,68
16681,69
1538,164
12744,90
15740,18
24484,284
15228,254
9850,218
4091,95
14281,69
11891,95
14757,105
4850,54
4940,180
18613,224
22072,272
22968,56
23325,4
25457,175
23537,166
10391,149
16556,298
7635,1
9038,211
1627,57
12018,219
17738,277
21060,56
7611,105
98,219
19768,244
10309,286
21553,105
1797,144
5940,56
13014,58
25849,217
15586,129
7331,199
12548,226
15851,239
20334,49
966,234
2286,274
23527,152
23718,195
9700,44
24981,101
6114,89
25004,74
10973,235
9058,239
17892,245
7269,98
20679,87
23191,295
15964,274
2018,28
6032,234
7439,41
21561,252
13073,274
7201,236
7547,110
21916,106
9847,8
16078,56
25776,54
25725,13
1094,205
195,231
12855,234
25886,78
19168,39
23117,147
17112,106
7951,209
9622,120
3775,269
9741,95
721,78
22987,144
12881,166
25499,106
11434,122
5352,70
19115,44
15088,113
12781,110
10104,57
5612,287
24834,182
7930,298
21363,84
21734,69
1337,215
2657,95
17153,149
23310,17
13497,255
5265,236
23019,79
10669,234
2504,237
4259,296
10774,166
14132,197
4270,168
5727,106
15106,295
6314,164
23603,29
8974,147
15742,2
12856,301
4047,261
2357,178
11195,189
19729,39
18139,184
4571,153
3629,165
16949,104
20275,44
12871,284
14982,79
6997,180
20598,56
1363,90
19691,98
1900,211
5273,71
21158,190
14074,8
4233,274
13712,211
15251,11
19326,90
26318,62
18091,104
22978,277
15423,246
13718,200
3883,85
6707,97
25093,254
8892,178
23198,72
8502,105
4125,215
21260,95
17880,75
23011,165
18801,264
10951,231
14633,252
21967,97
4029,182
17178,19
16251,29
15891,92
4086,56
15388,162
18592,203
5172,68
25314,58
4109,182
11913,149
11491,97
11733,164
25650,275
1298,254
12900,254
17538,196
735,93
25940,56
13165,14
21572,122
5076,166
10720,106
18839,76
21083,95
23005,101
24395,100
25471,295
1458,218
9325,273
22725,247
12594,10
5379,143
8988,95
17181,71
10935,106
15343,70
11753,224
21731,151
23625,92
25455,102
24545,19
25937,163
7560,134
21929,184
2778,166
24056,64
19516,19
11014,40
26298,95
23880,253
452,278
3997,56
10354,73
15853,296
20108,254
19515,218
12655,41
24736,105
5871,154
19092,95
24920,101
3640,56
19931,40
23140,98
4731,90
11159,286
15085,258
16042,101
62,105
2198,253
15781,96
21448,80
16237,151
15197,234
10784,242
5661,236
7184,154
26248,17
9392,236
12107,71
9724,177
2372,70
18598,255
2058,245
2210,24
7720,282
8358,50
12501,154
14032,106
24877,239
306,250
20091,144
18682,294
20266,252
8883,286
23228,150
13069,95
362,71
16782,57
4581,56
7851,13
20331,205
4965,19
16276,64
15916,95
18044,1
4589,255
15773,90
12726,95
4409,105
24143,56
9408,58
21479,143
24968,106
21626,8
4438,95
18209,286
403,36
9356,24
26620,72
3166,273
19314,191
2165,56
22546,170
25439,106
14784,184
20127,218
16439,201
18392,13
15572,264
5333,269
6819,79
25219,175
17529,126
10965,224
25590,236
32,71
3194,267
11278,78
16855,95
7763,90
24962,190
20495,287
13321,157
13192,71
11510,102
12770,79
15434,90
23242,182
2861,234
4552,259
13791,166
1227,69
5849,227
21921,95
25479,58
13197,61
8860,90
19270,90
25801,153
11100,19
1050,283
14303,78
24784,259
24899,210
5190,278
16658,95
13823,85
3780,210
3722,215
22068,101
14900,271
4894,13
9944,201
14140,95
10828,282
13176,90
1011,249
16958,287
18442,155
11132,96
20065,231
22954,182
21878,95
7161,105
20559,113
2506,95
22642,69
6720,56
8250,74
18133,75
25629,25
24963,154
9080,149
2535,41
8222,172
6392,8
1798,264
8054,79
4569,154
19035,71
19699,236
17643,81
7032,71
15374,30
26354,226
6092,18
3806,95
20898,153
3458,111
12259,250
1664,296
13520,56
1295,250
7422,161
8466,57
16495,57
20206,25
17256,287
8975,72
8051,160
10855,8
5013,271
14236,164
21894,199
6328,121
9666,64
26033,56
13320,93
5683,64
2323,1
3139,283
13511,41
3268,189
629,89
25041,71
21125,172
21556,192
4714,56
5392,182
14320,219
17768,39
17447,169
18652,152
24125,242
25863,90
25040,8
4757,93
7419,70
12599,105
7034,168
1430,253
21285,8
18034,224
22847,199
17160,255
19430,245
14198,297
11578,171
18722,44
14221,222
23923,85
2553,75
5258,71
1140,190
20296,297
22765,220
12574,106
20351,269
5329,90
7673,162
23221,25
24270,28
2653,298
23933,278
12506,70
11036,151
10020,237
17376,8
11538,64
25907,18
4483,64
11547,178
1626,168
6681,219
23615,301
9083,286
4157,282
6164,54
15334,64
5902,45
258,227
23370,27
